1507554530886|-1||debug||com.p6spy.engine.common.P6SpyOptions reloading properties
09/10/2017|-1||info||Using properties file: spy.properties
09/10/2017|-1||info||No value in environment for: getStackTrace, using: false
09/10/2017|-1||info||No value in environment for: getAppender, using: com.p6spy.engine.logging.appender.StdoutLogger
09/10/2017|-1||info||No value in environment for: getFilter, using: false
09/10/2017|-1||info||No value in environment for: getAppend, using: true
09/10/2017|-1||info||No value in environment for: getDateformat, using: dd/MM/yyyy
09/10/2017|-1||info||No value in environment for: getAutoflush, using: true
09/10/2017|-1||info||No value in environment for: getSQLExpression, using: null
09/10/2017|-1||info||No value in environment for: getInclude, using: 
09/10/2017|-1||info||No value in environment for: getLogfile, using: spy.log
09/10/2017|-1||info||No value in environment for: getRealdriver3, using: null
09/10/2017|-1||info||No value in environment for: getSpydriver, using: com.p6spy.engine.spy.P6SpyDriver
09/10/2017|-1||info||No value in environment for: getExclude, using: 
09/10/2017|-1||info||No value in environment for: getRealdriver2, using: null
09/10/2017|-1||info||No value in environment for: getRealdriver, using: oracle.jdbc.driver.OracleDriver
09/10/2017|-1||info||No value in environment for: getDateformatter, using: java.text.SimpleDateFormat@d936eac0
09/10/2017|-1||info||No value in environment for: getStringmatcher, using: com.p6spy.engine.common.SubstringMatcher
09/10/2017|-1||info||No value in environment for: getUsePrefix, using: false
09/10/2017|-1||info||No value in environment for: getJNDIContextProviderURL, using: null
09/10/2017|-1||info||No value in environment for: getRealDataSource, using: null
09/10/2017|-1||info||No value in environment for: getReloadProperties, using: false
09/10/2017|-1||info||No value in environment for: getReloadPropertiesInterval, using: 60
09/10/2017|-1||info||No value in environment for: getIncludecategories, using: 
09/10/2017|-1||info||No value in environment for: getStringMatcherEngine, using: com.p6spy.engine.common.SubstringMatcher@37f8bb67
09/10/2017|-1||info||No value in environment for: getRealDataSourceClass, using: null
09/10/2017|-1||info||No value in environment for: getExcludecategories, using: null
09/10/2017|-1||info||No value in environment for: getJNDIContextFactory, using: null
09/10/2017|-1||info||No value in environment for: getJNDIContextCustom, using: null
09/10/2017|-1||info||No value in environment for: getStackTraceClass, using: 
09/10/2017|-1||info||No value in environment for: getRealDataSourceProperties, using: null
